PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF08379	PF09899	Low	NA	NA	NA	Bacterial transglutaminase-like N-terminal region	7280	NA
PF06672	PF09909	High	NA	NA	NA	Protein of unknown function (DUF1175)	533	248
PF10062	PF09909	Very high	NA	NA	NA	Predicted secreted protein (DUF2300)	379	248
PF05071	PF09923	Low	NA	NA	NA	NADH ubiquinone oxidoreductase subunit NDUFA12	2873	1093
PF14345	PF09925	High	NA	NA	NA	GDYXXLXY protein	2798	1335
PF09343	PF09931	High	NA	NA	NA	Conserved hypothetical protein 2217 (DUF2460)	1795	NA
PF09356	PF09931	Very high	NA	NA	NA	Phage conserved hypothetical protein BR0599	1959	NA
PF13665	PF09937	High	NA	NA	NA	Domain of unknown function (DUF4150)	1256	2
PF07040	PF09948	High	NA	NA	NA	Protein of unknown function (DUF1326)	1686	6
PF06381	PF09950	High	NA	NA	NA	Protein of unknown function (DUF1073)	847	2194
PF09979	PF09950	High	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2213)	749	2194
PF13262	PF09950	High	NA	NA	NA	Protein of unknown function (DUF4054)	612	2194
PF01043	PF09954	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	NA
PF06071	PF09954	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	NA
PF01035	PF09966	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	14
PF13203	PF09967	Very high	NA	NA	NA	Putative metallopeptidase domain	2888	11337
PF06381	PF09979	High	NA	NA	NA	Protein of unknown function (DUF1073)	847	NA
PF09950	PF09979	High	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2184)	629	NA
PF13262	PF09979	High	NA	NA	NA	Protein of unknown function (DUF4054)	612	NA
PF00403	PF09983	Low	GO:0030001	BP	metal ion transport	Heavy-metal-associated domain	23310	115
PF00627	PF09983	Low	NA	NA	NA	UBA/TS-N domain	25202	115
PF00633	PF09983	Low	NA	NA	NA	Helix-hairpin-helix motif	23284	115
PF01035	PF09983	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	115
PF01255	PF09983	Low	NA	NA	NA	Putative undecaprenyl diphosphate synthase	25414	115
PF01381	PF09983	Low	NA	NA	NA	Helix-turn-helix	24979	115
PF01632	PF09983	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	115
PF01725	PF09983	Low	GO:0009143	BP	nucleoside triphosphate catabolic process	Ham1 family	24678	115
PF02357	PF09983	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	115
PF04851	PF09983	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	115
PF11795	PF09983	High	NA	NA	NA	Uncharacterized protein conserved in bacteria N-term (DUF3322)	1264	115
PF13558	PF09983	High	NA	NA	NA	Putative exonuclease SbcCD, C subunit	12801	115
PF13835	PF09983	Low	NA	NA	NA	Domain of unknown function (DUF4194)	3352	115
PF01869	PF09989	Low	NA	NA	NA	BadF/BadG/BcrA/BcrD ATPase family	12207	NA
PF13561	PF09990	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	1703
PF00044	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	25811	4356
PF00107	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	4356
PF00111	PF09994	Low	NA	NA	NA	2Fe-2S iron-sulfur cluster binding domain	19972	4356
PF00196	PF09994	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Bacterial regulatory proteins, luxR family	21836	4356
PF00278	PF09994	Low	NA	NA	NA	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	23223	4356
PF00578	PF09994	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	4356
PF00581	PF09994	Low	NA	NA	NA	Rhodanese-like domain	24015	4356
PF00885	PF09994	Low	GO:0009231	BP	riboflavin biosynthetic process	6,7-dimethyl-8-ribityllumazine synthase	20931	4356
PF00925	PF09994	Low	NA	NA	NA	GTP cyclohydrolase II	20921	4356
PF00999	PF09994	Low	GO:0055085	BP	transmembrane transport	Sodium/hydrogen exchanger family	23035	4356
PF00999	PF09994	Low	GO:0006812	BP	cation transport	Sodium/hydrogen exchanger family	23035	4356
PF01035	PF09994	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	4356
PF01145	PF09994	Low	NA	NA	NA	SPFH domain / Band 7 family	24519	4356
PF01435	PF09994	Low	GO:0006508	BP	proteolysis	Peptidase family M48	21941	4356
PF01625	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Peptide methionine sulfoxide reductase	21388	4356
PF01872	PF09994	Low	GO:0009231	BP	riboflavin biosynthetic process	RibD C-terminal domain	21946	4356
PF01872	PF09994	Low	GO:0055114	BP	oxidation-reduction process	RibD C-terminal domain	21946	4356
PF01925	PF09994	Low	NA	NA	NA	Sulfite exporter TauE/SafE	21931	4356
PF02683	PF09994	Low	GO:0017004	BP	cytochrome complex assembly	Cytochrome C biogenesis protein transmembrane region	21880	4356
PF02683	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Cytochrome C biogenesis protein transmembrane region	21880	4356
PF02784	PF09994	Low	NA	NA	NA	Pyridoxal-dependent decarboxylase, pyridoxal binding domain	23150	4356
PF02800	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	25864	4356
PF03372	PF09994	Low	NA	NA	NA	Endonuclease/Exonuclease/phosphatase family	24334	4356
PF08240	PF09994	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	4356
PF08241	PF09994	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	4356
PF12695	PF09994	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	4356
PF12697	PF09994	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	4356
PF13193	PF09994	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	4356
PF13489	PF09994	High	NA	NA	NA	Methyltransferase domain	22564	4356
PF13561	PF09994	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	4356
PF14602	PF09994	Low	NA	NA	NA	Hexapeptide repeat of succinyl-transferase	21203	4356
PF00044	PF10011	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	25811	3217
PF00107	PF10011	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	3217
PF00113	PF10011	Low	NA	NA	NA	Enolase, C-terminal TIM barrel domain	25084	3217
PF00196	PF10011	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Bacterial regulatory proteins, luxR family	21836	3217
PF00478	PF10011	Low	GO:0055114	BP	oxidation-reduction process	IMP dehydrogenase / GMP reductase domain	24320	3217
PF00578	PF10011	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	3217
PF00581	PF10011	Low	NA	NA	NA	Rhodanese-like domain	24015	3217
PF00712	PF10011	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	3217
PF00924	PF10011	Low	GO:0055085	BP	transmembrane transport	Mechanosensitive ion channel	24339	3217
PF00958	PF10011	Low	GO:0006177	BP	GMP biosynthetic process	GMP synthase C terminal domain	23549	3217
PF00958	PF10011	Low	GO:0006164	BP	purine nucleotide biosynthetic process	GMP synthase C terminal domain	23549	3217
PF00999	PF10011	Low	GO:0055085	BP	transmembrane transport	Sodium/hydrogen exchanger family	23035	3217
PF00999	PF10011	Low	GO:0006812	BP	cation transport	Sodium/hydrogen exchanger family	23035	3217
PF01035	PF10011	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	3217
PF01180	PF10011	Low	GO:0055114	BP	oxidation-reduction process	Dihydroorotate dehydrogenase	24325	3217
PF01266	PF10011	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	3217
PF01381	PF10011	Low	NA	NA	NA	Helix-turn-helix	24979	3217
PF01475	PF10011	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Ferric uptake regulator family	23740	3217
PF01625	PF10011	High	GO:0055114	BP	oxidation-reduction process	Peptide methionine sulfoxide reductase	21388	3217
PF01641	PF10011	Low	GO:0055114	BP	oxidation-reduction process	SelR domain	20463	3217
PF01872	PF10011	Low	GO:0009231	BP	riboflavin biosynthetic process	RibD C-terminal domain	21946	3217
PF01872	PF10011	Low	GO:0055114	BP	oxidation-reduction process	RibD C-terminal domain	21946	3217
PF02195	PF10011	Low	NA	NA	NA	ParB-like nuclease domain	24871	3217
PF02767	PF10011	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	3217
PF02768	PF10011	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	3217
PF03358	PF10011	Low	NA	NA	NA	NADPH-dependent FMN reductase	20995	3217
PF03372	PF10011	Low	NA	NA	NA	Endonuclease/Exonuclease/phosphatase family	24334	3217
PF03952	PF10011	Low	NA	NA	NA	Enolase, N-terminal domain	24728	3217
PF06071	PF10011	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	3217
PF08299	PF10011	Low	GO:0006275	BP	regulation of DNA replication	Bacterial dnaA protein helix-turn-helix	25734	3217
PF08299	PF10011	Low	GO:0006270	BP	DNA replication initiation	Bacterial dnaA protein helix-turn-helix	25734	3217
PF12681	PF10011	Low	NA	NA	NA	Glyoxalase-like domain	20821	3217
PF12695	PF10011	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	3217
PF12697	PF10011	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	3217
PF13522	PF10011	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	3217
PF13561	PF10011	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	3217
PF00107	PF10027	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	485
PF00581	PF10027	Low	NA	NA	NA	Rhodanese-like domain	24015	485
PF01035	PF10027	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	485
PF08240	PF10027	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	485
PF08241	PF10027	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	485
PF12695	PF10027	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	485
PF13561	PF10027	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	485
PF02424	PF10029	High	GO:0017013	BP	protein flavinylation	ApbE family	16611	8731
PF03743	PF10038	Low	NA	NA	NA	Bacterial conjugation TrbI-like protein	4335	15
PF10074	PF10038	High	NA	NA	NA	Uncharacterized conserved protein (DUF2285)	1119	15
PF11000	PF10038	High	NA	NA	NA	Protein of unknown function (DUF2840)	963	15
PF11843	PF10038	High	NA	NA	NA	Protein of unknown function (DUF3363)	1300	15
PF01636	PF10048	Low	NA	NA	NA	Phosphotransferase enzyme family	22115	152
PF05114	PF10048	High	NA	NA	NA	Protein of unknown function (DUF692)	6072	152
PF09836	PF10048	High	NA	NA	NA	Putative DNA-binding domain	4519	152
PF13489	PF10048	Low	NA	NA	NA	Methyltransferase domain	22564	152
PF06672	PF10062	High	NA	NA	NA	Protein of unknown function (DUF1175)	533	31
PF09909	PF10062	Very high	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2138)	384	31
PF00107	PF10067	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	1
PF00160	PF10067	Low	GO:0000413	BP	protein peptidyl-prolyl isomerization	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	24333	1
PF00248	PF10067	Low	NA	NA	NA	Aldo/keto reductase family	22888	1
PF00578	PF10067	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	1
PF00581	PF10067	Low	NA	NA	NA	Rhodanese-like domain	24015	1
PF01035	PF10067	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	1
PF01145	PF10067	Low	NA	NA	NA	SPFH domain / Band 7 family	24519	1
PF01243	PF10067	Low	NA	NA	NA	Pyridoxamine 5'-phosphate oxidase	20231	1
PF01266	PF10067	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	1
PF01625	PF10067	Low	GO:0055114	BP	oxidation-reduction process	Peptide methionine sulfoxide reductase	21388	1
PF01641	PF10067	Low	GO:0055114	BP	oxidation-reduction process	SelR domain	20463	1
PF01872	PF10067	Low	GO:0009231	BP	riboflavin biosynthetic process	RibD C-terminal domain	21946	1
PF01872	PF10067	Low	GO:0055114	BP	oxidation-reduction process	RibD C-terminal domain	21946	1
PF01925	PF10067	Low	NA	NA	NA	Sulfite exporter TauE/SafE	21931	1
PF02771	PF10067	Low	GO:0055114	BP	oxidation-reduction process	Acyl-CoA dehydrogenase, N-terminal domain	19744	1
PF02785	PF10067	Low	NA	NA	NA	Biotin carboxylase C-terminal domain	21740	1
PF03061	PF10067	Low	NA	NA	NA	Thioesterase superfamily	22634	1
PF07883	PF10067	Low	NA	NA	NA	Cupin domain	23778	1
PF08241	PF10067	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	1
PF12681	PF10067	High	NA	NA	NA	Glyoxalase-like domain	20821	1
PF12695	PF10067	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	1
PF12697	PF10067	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	1
PF13147	PF10067	Low	NA	NA	NA	NA	22472	1
PF13193	PF10067	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	1
PF13302	PF10067	Low	NA	NA	NA	Acetyltransferase (GNAT) domain	21839	1
PF13411	PF10067	Low	GO:0006355	BP	regulation of transcription, DNA-templated	MerR HTH family regulatory protein	23482	1
PF13460	PF10067	Low	NA	NA	NA	NAD(P)H-binding	18965	1
PF13489	PF10067	Low	NA	NA	NA	Methyltransferase domain	22564	1
PF13561	PF10067	High	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	1
PF00361	PF10070	Low	NA	NA	NA	Proton-conducting membrane transporter	19416	13
PF05284	PF10074	High	NA	NA	NA	Protein of unknown function (DUF736)	1685	494
PF10038	PF10074	High	NA	NA	NA	Protein of unknown function (DUF2274)	1255	494
PF11000	PF10074	High	NA	NA	NA	Protein of unknown function (DUF2840)	963	494
PF11843	PF10074	High	NA	NA	NA	Protein of unknown function (DUF3363)	1300	494
PF00438	PF10076	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	472
PF01381	PF10076	Low	NA	NA	NA	Helix-turn-helix	24979	472
PF02772	PF10076	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	472
PF03484	PF10076	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	472
PF03485	PF10076	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	Arginyl tRNA synthetase N terminal domain	25575	472
PF03772	PF10076	Low	NA	NA	NA	Competence protein	24341	472
PF04865	PF10076	High	NA	NA	NA	Baseplate J-like protein	5795	472
PF04984	PF10076	High	NA	NA	NA	Phage tail sheath protein subtilisin-like domain	5849	472
PF05698	PF10076	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF) C-terminus	24033	472
PF05698	PF10076	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF) C-terminus	24033	472
PF07409	PF10076	Low	NA	NA	NA	Phage protein GP46	939	472
PF13296	PF10106	High	NA	NA	NA	Putative type VI secretion system Rhs element Vgr	1310	135
PF03445	PF10335	Very high	NA	NA	NA	Putative nucleotidyltransferase DUF294	5938	23
PF01557	PF10370	Low	GO:0008152	BP	metabolic process	Fumarylacetoacetate (FAA) hydrolase family	18802	2055
PF01381	PF10387	Low	NA	NA	NA	Helix-turn-helix	24979	767
PF13711	PF10387	Very high	NA	NA	NA	Domain of unknown function (DUF4160)	3114	767
PF06116	PF10656	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcriptional activator RinB	43	NA
PF08868	PF10673	High	NA	NA	NA	YugN-like family	1197	9
PF10966	PF10673	Low	NA	NA	NA	Protein of unknown function (DUF2768)	1151	9
PF11117	PF10673	High	NA	NA	NA	Protein of unknown function (DUF2626)	1198	9
PF11118	PF10673	High	NA	NA	NA	Protein of unknown function (DUF2627)	1209	9
PF14007	PF10673	High	NA	NA	NA	YtpI-like protein	1186	9
PF14036	PF10673	High	NA	NA	NA	YlaH-like protein	1193	9
PF14068	PF10673	High	NA	NA	NA	Putative membrane protein	1202	9
PF14089	PF10673	High	GO:0045881	BP	positive regulation of sporulation resulting in formation of a cellular spore	KinB-signalling pathway activation in sporulation	1213	9
PF12159	PF10693	High	NA	NA	NA	Protein of unknown function (DUF3593)	436	7
PF00737	PF10726	Low	GO:0050821	BP	protein stabilization	Photosystem II 10 kDa phosphoprotein	394	1974
PF00737	PF10726	Low	GO:0015979	BP	photosynthesis	Photosystem II 10 kDa phosphoprotein	394	1974
PF02531	PF10726	Low	GO:0015979	BP	photosynthesis	PsaD	402	1974
PF02605	PF10726	High	GO:0015979	BP	photosynthesis	Photosystem I reaction centre subunit XI	400	1974
PF03912	PF10726	Low	GO:0015979	BP	photosynthesis	Psb28 protein	403	1974
PF06485	PF10726	Low	NA	NA	NA	RNA-binding protein Tab2/Atab2	400	1974
PF06799	PF10726	Low	NA	NA	NA	Conserved in the green lineage and diatoms 27	399	1974
PF08848	PF10726	Low	NA	NA	NA	Domain of unknown function (DUF1818)	402	1974
PF08865	PF10726	Low	NA	NA	NA	Domain of unknown function (DUF1830)	392	1974
PF09353	PF10726	High	NA	NA	NA	Domain of unknown function (DUF1995)	397	1974
PF10716	PF10726	Low	GO:0055114	BP	oxidation-reduction process	NADH dehydrogenase transmembrane subunit	355	1974
PF11016	PF10726	High	NA	NA	NA	Protein of unknown function (DUF2854)	399	1974
PF11152	PF10726	Low	NA	NA	NA	Cofactor assembly of complex C subunit B, CCB2/CCB4	401	1974
PF11210	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF2996)	406	1974
PF11282	PF10726	High	NA	NA	NA	Protein of unknown function (DUF3082)	383	1974
PF11317	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3119)	393	1974
PF11332	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3134)	399	1974
PF11341	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3143)	397	1974
PF11347	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3148)	381	1974
PF11352	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3155)	393	1974
PF11623	PF10726	Low	GO:0009767	BP	photosynthetic electron transport chain	NAD(P)H dehydrogenase subunit S	390	1974
PF11909	PF10726	Low	GO:0055114	BP	oxidation-reduction process	NADH-quinone oxidoreductase cyanobacterial subunit N	395	1974
PF11947	PF10726	High	NA	NA	NA	Photosynthesis affected mutant 68	401	1974
PF12046	PF10726	Low	NA	NA	NA	Cofactor assembly of complex C subunit B	405	1974
PF12095	PF10726	Low	NA	NA	NA	Protein CHLORORESPIRATORY REDUCTION 7	393	1974
PF12452	PF10726	High	NA	NA	NA	Protein of unknown function (DUF3685)	396	1974
PF12527	PF10726	Low	NA	NA	NA	Protein of unknown function (DUF3727)	403	1974
PF10727	PF10728	Low	NA	NA	NA	Rossmann-like domain	5224	700
PF12758	PF10732	Low	NA	NA	NA	Protein of unknown function (DUF3813)	614	662
PF14148	PF10732	Low	NA	NA	NA	YhdB-like protein	643	662
PF13987	PF10733	Low	NA	NA	NA	YedD-like protein	343	1005
PF01716	PF10742	High	GO:0042549	BP	photosystem II stabilization	Manganese-stabilising protein / photosystem II polypeptide	402	3605
PF01716	PF10742	High	GO:0010207	BP	photosystem II assembly	Manganese-stabilising protein / photosystem II polypeptide	402	3605
PF02507	PF10742	Low	GO:0015979	BP	photosynthesis	Photosystem I reaction centre subunit III	394	3605
PF06298	PF10742	Low	GO:0015979	BP	photosynthesis	Photosystem II protein Y (PsbY)	355	3605
PF06799	PF10742	Low	NA	NA	NA	Conserved in the green lineage and diatoms 27	399	3605
PF08041	PF10742	Low	NA	NA	NA	PetM family of cytochrome b6f complex subunit 7	374	3605
PF08846	PF10742	Low	NA	NA	NA	Domain of unknown function (DUF1816)	389	3605
PF08848	PF10742	Low	NA	NA	NA	Domain of unknown function (DUF1818)	402	3605
PF10664	PF10742	Low	GO:0055114	BP	oxidation-reduction process	Cyanobacterial and plastid NDH-1 subunit M	400	3605
PF11341	PF10742	Low	NA	NA	NA	Protein of unknown function (DUF3143)	397	3605
PF11352	PF10742	Low	NA	NA	NA	Protein of unknown function (DUF3155)	393	3605
PF11688	PF10742	Low	NA	NA	NA	Protein of unknown function (DUF3285)	382	3605
PF12452	PF10742	Low	NA	NA	NA	Protein of unknown function (DUF3685)	396	3605
PF10761	PF10758	High	NA	NA	NA	Protein of unknown function (DUF2590)	350	1129
PF10772	PF10758	High	NA	NA	NA	Protein of unknown function (DUF2597)	343	1129
PF10963	PF10758	High	NA	NA	NA	Phage tail assembly chaperone	351	1129
PF10758	PF10761	High	NA	NA	NA	Protein of unknown function (DUF2586)	541	1162
