KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K04513	PF09745	Very high	map04928	Parathyroid hormone synthesis, secretion and action	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04972	Pancreatic secretion	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05100	Bacterial invasion of epithelial cells	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05130	Pathogenic Escherichia coli infection	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05133	Pertussis	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05135	Yersinia infection	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05152	Tuberculosis	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05163	Human cytomegalovirus infection	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05200	Pathways in cancer	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05203	Viral carcinogenesis	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05205	Proteoglycans in cancer	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05206	MicroRNAs in cancer	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05210	Colorectal cancer	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map05418	Fluid shear stress and atherosclerosis	RHOA; Ras homolog gene family, member A	1	1142
K05531	PF09745	Very high	map00513	Various types of N-glycan biosynthesis	MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	1	1142
K05531	PF09745	Very high	map01100	Metabolic pathways	MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	1	1142
K06101	PF09745	Very high	map00310	Lysine degradation	ASH1L; histone-lysine N-methyltransferase ASH1L [EC:2.1.1.43]	1	1142
K06636	PF09745	Very high	map04110	Cell cycle	SMC1; structural maintenance of chromosome 1	1	1142
K06636	PF09745	Very high	map04111	Cell cycle - yeast	SMC1; structural maintenance of chromosome 1	1	1142
K06636	PF09745	Very high	map04113	Meiosis - yeast	SMC1; structural maintenance of chromosome 1	1	1142
K06636	PF09745	Very high	map04114	Oocyte meiosis	SMC1; structural maintenance of chromosome 1	1	1142
K06639	PF09745	Very high	map04110	Cell cycle	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	1142
K06639	PF09745	Very high	map04111	Cell cycle - yeast	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	1142
K06639	PF09745	Very high	map04113	Meiosis - yeast	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	1142
K06664	PF09745	Very high	map04146	Peroxisome	PEX2, PXMP3; peroxin-2	1	1142
K06699	PF09745	Very high	map03050	Proteasome	PSME4; proteasome activator subunit 4	1	1142
K08711	PF09745	Very high	map02010	ABC transporters	ABCG2.PDR, CDR1; ATP-binding cassette, subfamily G (WHITE), member 2, PDR	1	1142
K08712	PF09745	Very high	map02010	ABC transporters	ABCG2.SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2	1	1142
K08773	PF09745	Very high	map04014	Ras signaling pathway	RALBP1; RalA-binding protein 1	1	1142
K08773	PF09745	Very high	map05200	Pathways in cancer	RALBP1; RalA-binding protein 1	1	1142
K08773	PF09745	Very high	map05212	Pancreatic cancer	RALBP1; RalA-binding protein 1	1	1142
K10661	PF09745	Very high	map04141	Protein processing in endoplasmic reticulum	MARCH6, DOA10; E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27]	1	1142
K10686	PF09745	Very high	map04120	Ubiquitin mediated proteolysis	UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]	1	1142
K10846	PF09745	Very high	map03420	Nucleotide excision repair	ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5	1	1142
K11137	PF09745	Very high	map03460	Fanconi anemia pathway	TELO2, TEL2; telomere length regulation protein	1	1142
K11137	PF09745	Very high	map04150	mTOR signaling pathway	TELO2, TEL2; telomere length regulation protein	1	1142
K11592	PF09745	Very high	map05206	MicroRNAs in cancer	DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]	1	1142
K11644	PF09745	Very high	map04139	Mitophagy - yeast	SIN3A; paired amphipathic helix protein Sin3a	1	1142
K11644	PF09745	Very high	map04919	Thyroid hormone signaling pathway	SIN3A; paired amphipathic helix protein Sin3a	1	1142
K11644	PF09745	Very high	map05016	Huntington disease	SIN3A; paired amphipathic helix protein Sin3a	1	1142
K11644	PF09745	Very high	map05169	Epstein-Barr virus infection	SIN3A; paired amphipathic helix protein Sin3a	1	1142
K11644	PF09745	Very high	map05202	Transcriptional misregulation in cancer	SIN3A; paired amphipathic helix protein Sin3a	1	1142
K11825	PF09745	Very high	map04144	Endocytosis	AP2B1; AP-2 complex subunit beta-1	1	1142
K11825	PF09745	Very high	map04721	Synaptic vesicle cycle	AP2B1; AP-2 complex subunit beta-1	1	1142
K11825	PF09745	Very high	map04961	Endocrine and other factor-regulated calcium reabsorption	AP2B1; AP-2 complex subunit beta-1	1	1142
K11825	PF09745	Very high	map05016	Huntington disease	AP2B1; AP-2 complex subunit beta-1	1	1142
K12161	PF09745	Very high	map04122	Sulfur relay system	URM1; ubiquitin related modifier 1	1	1142
K12182	PF09745	Very high	map04144	Endocytosis	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	1	1142
K12182	PF09745	Very high	map04145	Phagosome	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	1	1142
K12189	PF09745	Very high	map04144	Endocytosis	VPS25, EAP20; ESCRT-II complex subunit VPS25	1	1142
K12350	PF09745	Very high	map00600	Sphingolipid metabolism	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	1142
K12350	PF09745	Very high	map01100	Metabolic pathways	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	1142
K12350	PF09745	Very high	map04071	Sphingolipid signaling pathway	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	1142
K12350	PF09745	Very high	map04142	Lysosome	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	1142
K12350	PF09745	Very high	map04217	Necroptosis	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	1142
K12392	PF09745	Very high	map04142	Lysosome	AP1B1; AP-1 complex subunit beta-1	1	1142
K12392	PF09745	Very high	map05170	Human immunodeficiency virus 1 infection	AP1B1; AP-1 complex subunit beta-1	1	1142
K12854	PF09745	Very high	map03040	Spliceosome	SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]	1	1142
K13577	PF09745	High	map04964	Proximal tubule bicarbonate reclamation	SLC25A10, DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10	2	1142
K13728	PF09745	High	map04110	Cell cycle	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	1142
K13728	PF09745	High	map04114	Oocyte meiosis	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	1142
K13728	PF09745	High	map04914	Progesterone-mediated oocyte maturation	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	1142
K13728	PF09745	High	map05100	Bacterial invasion of epithelial cells	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	1142
K13728	PF09745	High	map05131	Shigellosis	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	1142
K14303	PF09745	Very high	map03013	RNA transport	NUP160, NUP120; nuclear pore complex protein Nup160	1	1142
K14416	PF09745	Very high	map03015	mRNA surveillance pathway	HBS1; elongation factor 1 alpha-like protein	1	1142
K14416	PF09745	Very high	map05134	Legionellosis	HBS1; elongation factor 1 alpha-like protein	1	1142
K14561	PF09745	Very high	map03008	Ribosome biogenesis in eukaryotes	IMP4; U3 small nucleolar ribonucleoprotein protein IMP4	1	1142
K14963	PF09745	Very high	map04934	Cushing syndrome	WDR5, SWD3, CPS30; COMPASS component SWD3	1	1142
K15401	PF09745	Very high	map00071	Fatty acid degradation	CYP86A1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	1	1142
K15401	PF09745	Very high	map00073	Cutin, suberine and wax biosynthesis	CYP86A1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	1	1142
K15542	PF09745	Very high	map03015	mRNA surveillance pathway	PFS2; polyadenylation factor subunit 2	1	1142
K16675	PF09745	Very high	map04391	Hippo signaling pathway - fly	ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]	1	1142
K17900	PF09745	Very high	map00561	Glycerolipid metabolism	ATG15, AUT5; lipase ATG15 [EC:3.1.1.3]	1	1142
K17900	PF09745	Very high	map01100	Metabolic pathways	ATG15, AUT5; lipase ATG15 [EC:3.1.1.3]	1	1142
K17900	PF09745	Very high	map04138	Autophagy - yeast	ATG15, AUT5; lipase ATG15 [EC:3.1.1.3]	1	1142
K18443	PF09745	Very high	map04144	Endocytosis	GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	1	1142
K18696	PF09745	Very high	map00564	Glycerophospholipid metabolism	GDE1; glycerophosphodiester phosphodiesterase [EC:3.1.4.46]	1	1142
K19786	PF09745	Very high	map00562	Inositol phosphate metabolism	IPK1; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]	1	1142
K19786	PF09745	Very high	map01100	Metabolic pathways	IPK1; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]	1	1142
K19786	PF09745	Very high	map04070	Phosphatidylinositol signaling system	IPK1; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]	1	1142
K20407	PF09745	Very high	map04150	mTOR signaling pathway	MIOS, MIO; WD repeat-containing protein mio	1	1142
K20409	PF09745	Very high	map04150	mTOR signaling pathway	WDR59; WD repeat-containing protein 59	1	1142
K16904	PF09848	Low	map00240	Pyrimidine metabolism	DCTPP1; dCTP diphosphatase [EC:3.6.1.12]	4832	666
K16904	PF09848	Low	map01100	Metabolic pathways	DCTPP1; dCTP diphosphatase [EC:3.6.1.12]	4832	666
K03335	PF09863	Low	map00562	Inositol phosphate metabolism	iolE; inosose dehydratase [EC:4.2.1.44]	5553	942
K03335	PF09863	Low	map01100	Metabolic pathways	iolE; inosose dehydratase [EC:4.2.1.44]	5553	942
K03335	PF09863	Low	map01120	Microbial metabolism in diverse environments	iolE; inosose dehydratase [EC:4.2.1.44]	5553	942
K03336	PF09863	Low	map00562	Inositol phosphate metabolism	iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]	4872	942
K03336	PF09863	Low	map01100	Metabolic pathways	iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]	4872	942
K03336	PF09863	Low	map01120	Microbial metabolism in diverse environments	iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]	4872	942
K03337	PF09863	Low	map00562	Inositol phosphate metabolism	iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]	5039	942
K03337	PF09863	Low	map01100	Metabolic pathways	iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]	5039	942
K03337	PF09863	Low	map01120	Microbial metabolism in diverse environments	iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]	5039	942
K03338	PF09863	High	map00562	Inositol phosphate metabolism	iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]	5439	942
K03338	PF09863	High	map01100	Metabolic pathways	iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]	5439	942
K03338	PF09863	High	map01120	Microbial metabolism in diverse environments	iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]	5439	942
K06048	PF09899	High	map00480	Glutathione metabolism	gshA, ybdK; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	10337	NA
K06048	PF09899	High	map01100	Metabolic pathways	gshA, ybdK; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	10337	NA
K02230	PF09919	High	map00860	Porphyrin and chlorophyll metabolism	cobN; cobaltochelatase CobN [EC:6.6.1.2]	6206	NA
K02230	PF09919	High	map01100	Metabolic pathways	cobN; cobaltochelatase CobN [EC:6.6.1.2]	6206	NA
K14205	PF09924	High	map01503	Cationic antimicrobial peptide (CAMP) resistance	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	4053	NA
K14205	PF09924	High	map02020	Two-component system	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	4053	NA
K14205	PF09924	High	map05150	Staphylococcus aureus infection	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	4053	NA
K17321	PF09928	Very high	map02010	ABC transporters	glpV; glycerol transport system substrate-binding protein	2403	NA
K17322	PF09928	Very high	map02010	ABC transporters	K17322, glpP; glycerol transport system permease protein	2383	NA
K17323	PF09928	Very high	map02010	ABC transporters	glpQ; glycerol transport system permease protein	2456	NA
K17324	PF09928	Very high	map02010	ABC transporters	glpS; glycerol transport system ATP-binding protein	2397	NA
K17325	PF09928	Very high	map02010	ABC transporters	K17325, glpT; glycerol transport system ATP-binding protein	2407	NA
K11891	PF09937	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	impL, vasK, icmF; type VI secretion system protein ImpL	3457	2
K11891	PF09937	Low	map03070	Bacterial secretion system	impL, vasK, icmF; type VI secretion system protein ImpL	3457	2
K11892	PF09937	High	map03070	Bacterial secretion system	impK, ompA, vasF, dotU; type VI secretion system protein ImpK	3641	2
K11893	PF09937	High	map02025	Biofilm formation - Pseudomonas aeruginosa	impJ, vasE; type VI secretion system protein ImpJ	3622	2
K11895	PF09937	High	map02025	Biofilm formation - Pseudomonas aeruginosa	impH, vasB; type VI secretion system protein ImpH	3598	2
K11900	PF09937	High	map02025	Biofilm formation - Pseudomonas aeruginosa	impC; type VI secretion system protein ImpC	3684	2
K11901	PF09937	High	map02025	Biofilm formation - Pseudomonas aeruginosa	impB; type VI secretion system protein ImpB	3675	2
K11903	PF09937	High	map02025	Biofilm formation - Pseudomonas aeruginosa	hcp; type VI secretion system secreted protein Hcp	3823	2
K11903	PF09937	High	map03070	Bacterial secretion system	hcp; type VI secretion system secreted protein Hcp	3823	2
K11907	PF09937	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	vasG, clpV; type VI secretion system protein VasG	3396	2
K11907	PF09937	Low	map03070	Bacterial secretion system	vasG, clpV; type VI secretion system protein VasG	3396	2
K21011	PF09960	High	map02025	Biofilm formation - Pseudomonas aeruginosa	pelF; polysaccharide biosynthesis protein PelF	1712	NA
K21012	PF09960	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	pelG; polysaccharide biosynthesis protein PelG	1170	NA
K15670	PF09995	Low	map01051	Biosynthesis of ansamycins	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	NA
K15670	PF09995	Low	map01052	Type I polyketide structures	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	NA
K16000	PF09995	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF09995	Low	map01052	Type I polyketide structures	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF09995	Low	map01100	Metabolic pathways	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF09995	Low	map01130	Biosynthesis of antibiotics	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16376	PF09995	Low	map01052	Type I polyketide structures	fkbC; polyketide synthase FkbC	850	NA
K16393	PF09995	Low	map01052	Type I polyketide structures	fscB; candicidin polyketide synthase FscB	673	NA
K00874	PF10022	Low	map00030	Pentose phosphate pathway	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	12979	65
K00874	PF10022	Low	map01100	Metabolic pathways	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	12979	65
K00874	PF10022	Low	map01120	Microbial metabolism in diverse environments	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	12979	65
K00874	PF10022	Low	map01200	Carbon metabolism	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	12979	65
K01190	PF10022	Low	map00052	Galactose metabolism	lacZ; beta-galactosidase [EC:3.2.1.23]	9300	65
K01190	PF10022	Low	map00511	Other glycan degradation	lacZ; beta-galactosidase [EC:3.2.1.23]	9300	65
K01190	PF10022	Low	map00600	Sphingolipid metabolism	lacZ; beta-galactosidase [EC:3.2.1.23]	9300	65
K01190	PF10022	Low	map01100	Metabolic pathways	lacZ; beta-galactosidase [EC:3.2.1.23]	9300	65
K00380	PF10029	Low	map00920	Sulfur metabolism	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	7590	8731
K00380	PF10029	Low	map01100	Metabolic pathways	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	7590	8731
K00380	PF10029	Low	map01120	Microbial metabolism in diverse environments	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	7590	8731
K19077	PF10035	Low	map01503	Cationic antimicrobial peptide (CAMP) resistance	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	2103	1
K19077	PF10035	Low	map02020	Two-component system	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	2103	1
K00799	PF10038	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K00799	PF10038	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	15
K03205	PF10038	High	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	15
K03566	PF10038	Low	map02026	Biofilm formation - Escherichia coli	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator	8976	15
K07344	PF10038	High	map02024	Quorum sensing	trbL; type IV secretion system protein TrbL	1644	15
K20266	PF10038	High	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	15
K20527	PF10038	High	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	15
K20528	PF10038	High	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	15
K20529	PF10038	High	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	15
K20530	PF10038	High	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	15
